uni,t,n,value
ssp1,20,vnm,69.43251692232374
ssp1,20,zaf,59.280636575559086
ssp1,21,arg,48.998728201855
ssp1,21,aus,36.750368069455966
ssp1,21,aut,8.618164577184869
ssp1,21,bel,11.614736585879461
ssp1,21,bgr,2.331277184405407
ssp1,21,blt,3.5648412848545243
ssp1,21,bra,152.55734495692826
ssp1,21,can,47.76194246991342
ssp1,21,chl,15.438079765177763
ssp1,21,chn,683.5905043344646
ssp1,21,cor,25.324912819007174
ssp1,21,cro,2.3848303243945286
ssp1,21,dnk,5.963709352962807
ssp1,21,egy,147.3956746643169
ssp1,21,esp,40.483670932499166
ssp1,21,fin,4.68018385589973
ssp1,21,fra,70.46077482538651
ssp1,21,gbr,67.07960433306302
ssp1,21,golf57,244.01210675361958
ssp1,21,grc,8.130886972492181
ssp1,21,hun,5.599204240608814
ssp1,21,idn,231.11876075132886
ssp1,21,irl,4.834964099328883
ssp1,21,ita,40.88064953304741
ssp1,21,jpn,61.961469821971725
ssp1,21,meme,64.26062962481686
ssp1,21,mex,103.8301293542798
ssp1,21,mys,42.94452551335012
ssp1,21,nde,1250.2382672890765
ssp1,21,nld,16.021347696671324
ssp1,21,noan,37.45033146728763
ssp1,21,noap,52.0768433529063
ssp1,21,nor,6.350160844659497
ssp1,21,oeu,9.934169536630506
ssp1,21,osea,198.70840865970408
ssp1,21,pol,18.44263333225592
ssp1,21,prt,5.63130519636441
ssp1,21,rcam,64.00636739537784
ssp1,21,rcz,6.889380200903486
ssp1,21,rfa,70.78554308942743
ssp1,21,ris,88.22411435133569
ssp1,21,rjan57,19.1404299745293
ssp1,21,rom,6.3188799758158085
ssp1,21,rsaf,1446.7332303603366
ssp1,21,rsam,135.34581228890485
ssp1,21,rsas,476.7238783102746
ssp1,21,rsl,2.8977787218801163
ssp1,21,rus,120.16854986842299
ssp1,21,slo,1.757956489306395
ssp1,21,sui,9.081634035448538
ssp1,21,swe,12.370096694552428
ssp1,21,tha,43.618900937030396
ssp1,21,tur,74.11238173685517
ssp1,21,ukr,27.08501878412345
ssp1,21,usa,387.9669114829525
ssp1,21,vnm,66.95745453504821
ssp1,21,zaf,58.12423764251249
ssp1,22,arg,48.50601525523834
ssp1,22,aus,36.95144717026433
ssp1,22,aut,8.579496119344709
ssp1,22,bel,11.572051172452891
ssp1,22,bgr,2.22026697499731
ssp1,22,blt,3.49333159098731
ssp1,22,bra,148.04235716148278
ssp1,22,can,47.89070291563978
ssp1,22,chl,15.096716831429928
ssp1,22,chn,653.6105871870599
ssp1,22,cor,24.261979379412118
ssp1,22,cro,2.332645473327986
ssp1,22,dnk,5.944212060593265
ssp1,22,egy,146.2817640590505
ssp1,22,esp,40.1731611539538
ssp1,22,fin,4.62823083317727
ssp1,22,fra,70.27251283602612
ssp1,22,gbr,66.66171324381679
ssp1,22,golf57,239.92639369553314
ssp1,22,grc,8.02751383970829
ssp1,22,hun,5.451196216148087
ssp1,22,idn,225.78968527807743
ssp1,22,irl,4.789986159812557
ssp1,22,ita,40.304088206851624
ssp1,22,jpn,59.875730003718814
ssp1,22,meme,63.53927017042177
ssp1,22,mex,100.99982735212272
ssp1,22,mys,42.61104148963145
ssp1,22,nde,1221.3463860768672
ssp1,22,nld,15.90802028926793
ssp1,22,noan,36.29758752730729
ssp1,22,noap,51.110393402327446
ssp1,22,nor,6.338405806903213
ssp1,22,oeu,9.61511281094597
ssp1,22,osea,193.5618811028061
ssp1,22,pol,17.666826146822004
ssp1,22,prt,5.491711812202251
ssp1,22,rcam,61.69864674806463
ssp1,22,rcz,6.7397816332996845
ssp1,22,rfa,70.29709463822286
ssp1,22,ris,86.0787535500244
ssp1,22,rjan57,18.70817300464189
ssp1,22,rom,5.9630079143341606
ssp1,22,rsaf,1419.3100303174613
ssp1,22,rsam,132.19524170757023
ssp1,22,rsas,464.37933763345586
ssp1,22,rsl,2.7910638092022784
ssp1,22,rus,119.54437917103323
ssp1,22,slo,1.7428338434498871
ssp1,22,sui,8.947449106387108
ssp1,22,swe,12.382002947932829
ssp1,22,tha,42.417151931047464
ssp1,22,tur,72.57853731737308
ssp1,22,ukr,26.6908892855403
ssp1,22,usa,387.97488562462473
ssp1,22,vnm,64.71102273605075
ssp1,22,zaf,57.05709332849192
ssp1,23,arg,48.04874174691026
ssp1,23,aus,37.14099026604338
ssp1,23,aut,8.543407096160436
ssp1,23,bel,11.532180666282999
ssp1,23,bgr,2.121150583125403
ssp1,23,blt,3.427907949560591
ssp1,23,bra,143.9348273258467
ssp1,23,can,48.01174126099937
ssp1,23,chl,14.783765454101655
ssp1,23,chn,626.7370544494138
ssp1,23,cor,23.30730423239934
ssp1,23,cro,2.28479271493223
ssp1,23,dnk,5.925993108009715
ssp1,23,egy,145.24536486912203
ssp1,23,esp,39.88429099610561
ssp1,23,fin,4.580065541550076
ssp1,23,fra,70.09648879423679
ssp1,23,gbr,66.2723810060862
ssp1,23,golf57,236.18392776106222
ssp1,23,grc,7.931833635527754
ssp1,23,hun,5.316106576359134
ssp1,23,idn,220.90887366355972
ssp1,23,irl,4.748211604325812
ssp1,23,ita,39.771185289768205
ssp1,23,jpn,57.98617073545695
ssp1,23,meme,62.89714825608888
ssp1,23,mex,98.41874838794708
ssp1,23,mys,42.300828020897484
